,protein_name,compound_name,pocket_name,pocket_com,affinity
69,3dxg,3dxg,pocket_1,"6.498,-4.556,32.657",4.2873144
70,3dxg,3dxg,pocket_2,"21.985,4.637,28.294",1.9337261
71,3dxg,3dxg,pocket_3,"14.971,5.939,19.796",0.8243991
72,3dxg,3dxg,pocket_4,"36.66,3.312,12.609",4.289532
73,3dxg,3dxg,pocket_5,"16.771,-2.194,14.593",1.7601659
74,3dxg,3dxg,pocket_6,"7.798,-8.389,41.122",3.968237
75,3dxg,3dxg,pocket_7,"36.916,2.981,20.642",4.2961216
76,3dxg,3dxg,pocket_8,"33.924,-6.967,11.292",4.3172216
77,3dxg,3dxg,pocket_9,"20.64,-9.802,36.86",2.0714383
78,3acw,3acw,protein_center,"55.682,12.768,51.888",5.7884197
79,3acw,3acw,pocket_1,"56.089,9.952,51.911",6.185444
80,3acw,3acw,pocket_2,"47.655,11.03,40.166",4.6737843
81,3acw,3acw,pocket_3,"59.255,16.926,39.249",5.621208
82,3acw,3acw,pocket_4,"46.681,23.581,69.735",2.409073
83,3acw,3acw,pocket_5,"47.096,26.307,47.881",4.4453297
84,3acw,3acw,pocket_6,"67.822,23.812,64.17",0.7975428
85,3acw,3acw,pocket_7,"37.402,20.614,68.688",2.2720113
86,3acw,3acw,pocket_8,"70.542,-6.626,43.408",0.30037284
87,2br1,2br1,protein_center,"14.809,1.785,22.114",7.055374
88,2br1,2br1,pocket_1,"6.674,-1.865,-0.193",5.7779856
89,2br1,2br1,pocket_2,"14.89,-3.309,11.903",7.4624424
90,2br1,2br1,pocket_3,"25.452,-3.209,24.696",3.4167726
91,2br1,2br1,pocket_4,"15.202,10.117,7.466",7.1554346
92,2br1,2br1,pocket_5,"12.439,-7.832,20.588",7.7119055
93,3g2n,3g2n,protein_center,"28.619,20.887,32.152",4.176157
94,3g2n,3g2n,pocket_1,"34.352,23.846,30.01",4.074669
95,3g2n,3g2n,pocket_2,"28.821,3.927,50.143",1.252236
96,3g2n,3g2n,pocket_3,"7.008,20.504,29.762",1.4999627
97,3g2n,3g2n,pocket_4,"22.991,17.72,44.877",2.5470498
98,3g2n,3g2n,pocket_5,"48.438,12.96,54.533",1.7126693
99,3g2n,3g2n,pocket_6,"6.801,25.572,12.7",1.4301703
100,3g2n,3g2n,pocket_7,"14.885,30.667,39.346",1.8304768
101,3g2n,3g2n,pocket_8,"56.688,7.819,33.656",0.99728227
102,3g2n,3g2n,pocket_9,"26.358,-4.384,38.607",0.27361536
103,3g2n,3g2n,pocket_10,"20.308,13.554,39.767",0.3399024
104,3g2n,3g2n,pocket_11,"41.94,28.973,17.346",2.9955344
105,3g2n,3g2n,pocket_12,"14.751,41.912,28.746",2.3860667
106,3g2n,3g2n,pocket_13,"51.645,23.939,26.07",1.8320768
107,3g2n,3g2n,pocket_14,"60.484,9.484,47.907",0.7394159
108,3g2n,3g2n,pocket_15,"39.312,37.019,29.81",0.8718498
109,3g2n,3g2n,pocket_16,"43.036,26.356,56.96",0.89735794
110,3g2n,3g2n,pocket_17,"21.079,51.768,26.826",2.4545557
111,3g2n,3g2n,pocket_18,"33.081,9.066,17.697",3.083977
112,3g2n,3g2n,pocket_19,"28.492,23.602,54.892",1.2884759
113,3g2n,3g2n,pocket_20,"37.569,34.993,5.213",0.7538104
114,3g2n,3g2n,pocket_21,"13.087,19.499,54.653",1.4644587
115,3g2n,3g2n,pocket_22,"21.956,24.978,25.205",3.613297
116,3g2n,3g2n,pocket_23,"35.008,13.563,30.548",4.3475504
117,3g2n,3g2n,pocket_24,"29.229,25.284,19.499",4.209407
118,3g2n,3g2n,pocket_25,"12.909,28.887,22.11",2.1731453
119,2vw5,2vw5,protein_center,"33.988,-10.105,42.376",6.952038
120,2vw5,2vw5,pocket_1,"37.772,-8.584,37.905",6.943307
121,2vw5,2vw5,pocket_2,"35.693,-24.107,48.53",3.7827709
122,2vw5,2vw5,pocket_3,"23.654,-17.572,40.177",2.6237576
123,2vw5,2vw5,pocket_4,"46.056,-12.862,58.538",2.192893
124,2vw5,2vw5,pocket_5,"25.584,-21.493,47.179",3.5233407
125,2vw5,2vw5,pocket_6,"42.184,-16.248,29.856",5.9572306
126,2vw5,2vw5,pocket_7,"30.006,7.617,44.511",2.532652
127,2vw5,2vw5,pocket_8,"31.842,-3.14,58.855",-0.0016049838
128,2vw5,2vw5,pocket_9,"52.128,1.431,43.169",2.019105
129,2w4x,2w4x,protein_center,"-19.668,-2.649,15.297",4.629229
130,2w4x,2w4x,pocket_1,"-9.552,-14.341,10.114",6.219366
131,2w4x,2w4x,pocket_2,"-35.036,-15.775,8.026",2.7256246
132,2w4x,2w4x,pocket_3,"8.577,27.47,33.691",1.0177627
133,2w4x,2w4x,pocket_4,"2.142,4.946,28.072",2.1086082
134,2w4x,2w4x,pocket_5,"-14.367,16.654,26.745",1.3395822
135,2w4x,2w4x,pocket_6,"-27.022,-3.507,25.138",0.09400368
136,2w4x,2w4x,pocket_7,"-18.527,-10.169,27.487",2.6115918
137,2w4x,2w4x,pocket_8,"-20.014,-21.012,22.085",1.2625792
138,2w4x,2w4x,pocket_9,"-31.768,1.914,19.544",-0.0018737148
139,2w4x,2w4x,pocket_10,"-52.086,7.469,6.55",1.5334541
140,2w4x,2w4x,pocket_11,"-29.046,4.933,-0.556",0.5294931
141,2w4x,2w4x,pocket_12,"-8.523,-7.515,28.692",2.406584
142,2w4x,2w4x,pocket_13,"-36.627,-8.52,20.461",1.5359952
143,2w4x,2w4x,pocket_14,"-17.582,16.084,17.254",1.9973245
144,2wvt,2wvt,protein_center,"-25.459,5.753,-2.096",2.2122664
145,2wvt,2wvt,pocket_1,"-19.907,3.096,6.816",2.4214609
146,2wvt,2wvt,pocket_2,"-22.178,8.573,-12.729",1.8343449
147,2wvt,2wvt,pocket_3,"-28.39,-0.33,29.053",5.760376
148,2wvt,2wvt,pocket_4,"-32.638,10.553,-29.98",5.6989965
149,2wvt,2wvt,pocket_5,"-39.636,16.508,-37.61",5.349678
150,2wvt,2wvt,pocket_6,"-40.469,1.413,-16.526",1.7750449
151,2wvt,2wvt,pocket_7,"-36.17,10.445,15.252",1.6843178
152,2wvt,2wvt,pocket_8,"-6.291,4.52,-3.357",1.7119665
153,2wvt,2wvt,pocket_9,"-11.078,11.181,26.026",4.1119747
154,2wvt,2wvt,pocket_10,"-32.591,-14.3,-16.087",0.5279331
155,2wvt,2wvt,pocket_11,"-6.44,6.834,10.17",0.5105133
156,2wvt,2wvt,pocket_12,"-27.477,5.154,-0.34",1.6926448
157,2wvt,2wvt,pocket_13,"-39.494,6.489,-24.325",5.6061077
158,2wvt,2wvt,pocket_14,"-30.016,22.732,-31.475",5.156801
159,2wvt,2wvt,pocket_15,"-17.986,-0.463,-32.655",4.4535522
160,2wvt,2wvt,pocket_16,"-9.388,21.232,17.442",-0.0022882938
161,2wvt,2wvt,pocket_17,"-26.26,26.636,12.129",0.62012374
162,2wvt,2wvt,pocket_18,"-34.32,5.987,23.791",5.8509398
163,2wvt,2wvt,pocket_19,"-25.35,-10.75,27.774",5.4686112
164,2wvt,2wvt,pocket_20,"-10.609,1.739,-17.942",0.2993188
165,2wvt,2wvt,pocket_21,"-41.625,5.444,-50.578",2.1041207
166,2wvt,2wvt,pocket_22,"-25.609,15.069,3.816",2.1184103
167,2wvt,2wvt,pocket_23,"-27.279,-2.632,-7.918",1.5595602
168,2wvt,2wvt,pocket_24,"-21.126,9.993,-30.959",5.9945135
169,2wvt,2wvt,pocket_25,"-54.898,7.138,-39.615",2.0863113
170,2wvt,2wvt,pocket_26,"-27.92,21.636,13.43",-0.010107176
171,2wvt,2wvt,pocket_27,"-29.024,5.218,47.216",3.3791924
172,3bv9,3bv9,protein_center,"7.555,27.232,5.308",8.683713
173,3bv9,3bv9,pocket_1,"11.786,19.515,13.821",8.820771
174,3bv9,3bv9,pocket_2,"-6.825,26.103,13.48",3.3789527
175,3bv9,3bv9,pocket_3,"3.0,41.847,4.954",1.8296425
176,3bv9,3bv9,pocket_4,"11.594,28.822,-7.727",1.9429119
177,3bv9,3bv9,pocket_5,"15.369,25.132,3.031",8.322312
178,3bv9,3bv9,pocket_6,"-8.97,37.368,1.317",1.3368552
179,3bv9,3bv9,pocket_7,"19.142,20.671,5.678",8.346855
180,3bv9,3bv9,pocket_8,"0.999,36.013,22.015",2.2309804
181,3bv9,3bv9,pocket_9,"3.245,17.956,-5.131",2.794844
182,3dx2,3dx2,protein_center,"39.697,62.064,-7.552",0.5916767
183,3dx2,3dx2,pocket_1,"43.929,75.392,-26.532",2.1993957
184,3dx2,3dx2,pocket_2,"24.902,62.782,11.561",5.2933083
185,3dx2,3dx2,pocket_3,"42.542,56.283,-17.747",-0.02262797
186,3dx2,3dx2,pocket_4,"57.367,56.687,-0.011",0.99780273
187,3dx2,3dx2,pocket_5,"51.922,67.296,7.42",1.7330185
188,3dx2,3dx2,pocket_6,"34.784,69.771,16.69",5.3028717
189,3dx2,3dx2,pocket_7,"51.695,77.169,-11.776",0.123304605
190,3dx2,3dx2,pocket_8,"68.735,58.142,-19.4",2.1985064
191,3dx2,3dx2,pocket_9,"24.652,49.811,-23.332",0.5251665
192,3dx2,3dx2,pocket_10,"39.27,55.34,3.416",4.208996
193,3dx2,3dx2,pocket_11,"41.148,44.388,-24.764",-0.00084548234
194,3dx2,3dx2,pocket_12,"34.1,86.666,-18.36",0.6571677
195,3dx2,3dx2,pocket_13,"37.658,53.497,-31.974",-0.008393271
196,3dx2,3dx2,pocket_14,"61.907,65.887,-32.208",1.0954456
197,3dx2,3dx2,pocket_15,"70.456,76.111,-30.699",1.8985915
198,3dx2,3dx2,pocket_16,"34.932,36.028,19.441",-0.00104563
199,3dx2,3dx2,pocket_17,"46.531,46.068,13.342",-0.001241598
200,3dx2,3dx2,pocket_18,"73.267,77.105,-16.724",0.9090214
201,3dx2,3dx2,pocket_19,"40.605,41.109,-12.929",2.3716488
202,3dx2,3dx2,pocket_20,"48.44,70.437,-16.762",1.3040829
203,3dx2,3dx2,pocket_21,"12.946,49.374,20.501",1.3336074
204,3dx2,3dx2,pocket_22,"36.901,36.629,3.052",-0.015338814
205,3dx2,3dx2,pocket_23,"27.044,51.51,22.785",0.48645568
206,3dx2,3dx2,pocket_24,"42.677,53.702,-0.142",1.3151581
207,3dx2,3dx2,pocket_25,"38.58,57.218,12.552",4.743063
208,3dx2,3dx2,pocket_26,"70.005,54.556,-9.68",0.3196404
209,3dx2,3dx2,pocket_27,"23.128,53.904,-9.918",-0.011367957
210,3dx2,3dx2,pocket_28,"50.814,55.418,-29.408",0.64106596
211,3dx2,3dx2,pocket_29,"17.752,39.05,26.614",1.0150328
212,3dx2,3dx2,pocket_30,"49.482,42.274,-9.012",1.0016885
213,3dx2,3dx2,pocket_31,"64.369,79.115,-38.296",1.0086141
214,3dx2,3dx2,pocket_32,"31.56,32.503,20.327",1.0205612
215,3dx2,3dx2,pocket_33,"24.089,59.878,-35.603",-0.0016581678
216,3dx2,3dx2,pocket_34,"49.765,60.424,-8.715",1.1088765
217,3dx2,3dx2,pocket_35,"14.331,59.278,-2.857",1.4045322
218,3dx2,3dx2,pocket_36,"52.627,54.566,-5.012",-0.006160483
219,3dx2,3dx2,pocket_37,"35.3,93.121,-30.035",1.0210161
220,3fcq,3fcq,protein_center,"35.59,50.052,-2.92",3.7789545
221,3fcq,3fcq,pocket_1,"35.349,41.077,-6.143",3.6452584
222,3fcq,3fcq,pocket_2,"15.053,41.536,11.588",1.2112913
223,3fcq,3fcq,pocket_3,"24.633,57.465,6.913",1.3306656
224,3fcq,3fcq,pocket_4,"31.671,55.072,9.896",0.9980997
225,3fcq,3fcq,pocket_5,"21.344,51.08,-13.17",0.7189007
226,3fcq,3fcq,pocket_6,"57.654,52.318,-0.7",1.046143
227,3fcq,3fcq,pocket_7,"27.222,39.331,11.641",1.096759
228,3fcq,3fcq,pocket_8,"23.885,31.11,9.364",1.9004242
229,3fcq,3fcq,pocket_9,"6.553,54.388,14.823",1.6301754
230,3fcq,3fcq,pocket_10,"28.489,56.557,-5.66",0.037910223
231,2v7a,2v7a,protein_center,"5.643,-45.799,-3.74",6.83016
232,2v7a,2v7a,pocket_1,"-42.306,-47.519,-9.723",8.24296
233,2v7a,2v7a,pocket_2,"41.671,-37.296,-11.484",8.178986
234,2v7a,2v7a,pocket_3,"-44.401,-40.27,-2.746",7.832079
235,2v7a,2v7a,pocket_4,"-36.222,-63.495,-9.91",6.4584217
236,2v7a,2v7a,pocket_5,"36.204,-42.499,-6.162",8.208232
237,2v7a,2v7a,pocket_6,"-45.218,-34.942,3.907",3.153416
238,2v7a,2v7a,pocket_7,"55.144,-32.934,-20.455",6.659108
239,2v7a,2v7a,pocket_8,"-22.542,-52.548,-2.699",4.9293766
240,2v7a,2v7a,pocket_9,"61.58,-36.65,-3.274",5.2801104
241,2v7a,2v7a,pocket_10,"37.036,-53.014,-2.867",2.4454997
242,2v7a,2v7a,pocket_11,"64.467,-47.0,-15.23",5.1685266
243,2v7a,2v7a,pocket_12,"40.781,-23.481,2.389",3.8111954
244,2v7a,2v7a,pocket_13,"-30.621,-59.492,6.176",5.0500193
245,2v7a,2v7a,pocket_14,"-39.648,-30.11,-12.004",2.4609084
246,2v7a,2v7a,pocket_15,"28.117,-30.297,-11.503",3.6260247
247,2fvd,2fvd,protein_center,"1.301,29.949,21.35",7.1901646
248,2fvd,2fvd,pocket_1,"-3.976,27.012,12.973",7.529772
249,2fvd,2fvd,pocket_2,"-6.929,30.741,39.503",2.8352847
250,2fvd,2fvd,pocket_3,"7.554,29.63,41.21",3.235832
251,2fvd,2fvd,pocket_4,"-0.206,40.759,31.579",1.5987024
252,2fvd,2fvd,pocket_5,"-4.968,39.36,32.905",2.2246816
253,2fvd,2fvd,pocket_6,"-4.902,37.413,13.495",7.355275
254,2fvd,2fvd,pocket_7,"22.976,38.821,28.933",1.7626686
255,2fvd,2fvd,pocket_8,"-7.643,24.842,26.413",2.7280233
256,2fvd,2fvd,pocket_9,"-13.698,25.434,-0.827",2.5094898
257,1z9g,1z9g,protein_center,"35.971,50.759,-2.796",5.7577114
258,1z9g,1z9g,pocket_1,"35.834,42.319,-5.728",5.8624945
259,1z9g,1z9g,pocket_2,"15.11,42.002,11.548",2.519507
260,1z9g,1z9g,pocket_3,"5.963,55.006,15.027",3.369695
261,1z9g,1z9g,pocket_4,"18.953,33.143,10.214",3.6943285
262,1z9g,1z9g,pocket_5,"39.725,62.827,-2.879",1.0487684
263,1z9g,1z9g,pocket_6,"28.957,57.125,-6.087",3.6555743
264,1o3f,1o3f,protein_center,"48.054,6.61,25.366",7.4400845
265,1o3f,1o3f,pocket_1,"40.588,6.191,12.876",3.3434176
266,1o3f,1o3f,pocket_2,"44.188,-2.35,27.329",7.335971
267,1o3f,1o3f,pocket_3,"51.842,-1.117,36.49",7.6248035
268,1o3f,1o3f,pocket_4,"32.091,15.547,22.698",2.0524862
269,1o3f,1o3f,pocket_5,"44.566,2.809,35.38",7.74253
270,1o3f,1o3f,pocket_6,"55.98,8.897,15.988",2.9858975
271,1o3f,1o3f,pocket_7,"46.96,23.634,22.761",2.4537942
272,1o3f,1o3f,pocket_8,"58.02,-6.461,25.118",6.7351675
273,1gpk,1gpk,protein_center,"4.781,64.532,56.067",5.328368
274,1gpk,1gpk,pocket_1,"2.086,65.078,66.834",6.1388493
275,1gpk,1gpk,pocket_2,"11.229,48.921,63.46",2.0740983
276,1gpk,1gpk,pocket_3,"5.628,79.852,63.901",4.830906
277,1gpk,1gpk,pocket_4,"-5.588,82.778,53.389",1.5656905
278,1gpk,1gpk,pocket_5,"21.398,67.618,69.596",1.7964072
279,1gpk,1gpk,pocket_6,"-18.048,72.368,50.34",2.4188704
280,1gpk,1gpk,pocket_7,"23.5,53.963,54.203",-0.003207128
281,1gpk,1gpk,pocket_8,"-11.856,65.069,39.454",2.1031525
282,1gpk,1gpk,pocket_9,"26.059,67.888,59.741",2.152107
283,1gpk,1gpk,pocket_10,"27.305,47.224,67.031",1.5811498
284,1gpk,1gpk,pocket_11,"14.963,50.546,56.475",1.4864084
285,1gpk,1gpk,pocket_12,"-7.488,69.349,56.4",5.2494383
286,1oyt,1oyt,protein_center,"11.943,-0.398,19.806",8.096053
287,1oyt,1oyt,pocket_1,"16.202,-11.451,19.304",7.8775406
288,1oyt,1oyt,pocket_2,"16.23,1.189,36.063",2.7562966
289,1oyt,1oyt,pocket_3,"19.126,13.163,19.439",2.7654238
290,1oyt,1oyt,pocket_4,"10.757,14.488,31.685",0.8744359
291,1oyt,1oyt,pocket_5,"-2.535,-1.694,24.165",3.5786672
292,1oyt,1oyt,pocket_6,"29.463,2.211,28.924",2.4053555
293,1oyt,1oyt,pocket_7,"0.047,-2.529,36.326",2.4617393
294,1oyt,1oyt,pocket_8,"2.407,5.061,11.682",1.6133538
295,1oyt,1oyt,pocket_9,"14.314,16.101,25.517",2.5662217
296,3ag9,3ag9,protein_center,"4.511,5.477,34.902",3.491541
297,3ag9,3ag9,pocket_1,"-5.982,-5.622,47.261",7.045908
298,3ag9,3ag9,pocket_2,"15.641,3.716,10.767",7.0305414
299,3ag9,3ag9,pocket_3,"17.3,2.293,34.708",4.473641
300,3ag9,3ag9,pocket_4,"6.122,-11.596,33.605",3.6061363
301,3ag9,3ag9,pocket_5,"22.315,12.099,35.487",3.761715
302,3ag9,3ag9,pocket_6,"1.942,2.401,25.327",5.0502014
303,3ag9,3ag9,pocket_7,"-10.003,12.458,65.005",3.8143134
304,3ag9,3ag9,pocket_8,"32.563,13.544,26.793",3.456639
305,3ag9,3ag9,pocket_9,"-15.16,18.606,56.592",2.8559055
306,3ag9,3ag9,pocket_10,"18.098,18.561,7.725",4.388437
307,3ag9,3ag9,pocket_11,"-23.358,-4.955,46.824",3.8499022
308,3ag9,3ag9,pocket_12,"17.574,-8.526,24.73",2.8655944
309,3ag9,3ag9,pocket_13,"32.881,29.779,27.276",3.2281516
310,2pog,2pog,protein_center,"9.828,34.416,64.054",3.410274
311,2pog,2pog,pocket_1,"13.295,51.369,61.791",7.580143
312,2pog,2pog,pocket_2,"26.614,27.533,68.702",7.457651
313,2pog,2pog,pocket_3,"19.826,35.099,57.466",3.3313322
314,2pog,2pog,pocket_4,"15.505,40.877,70.799",3.5189548
315,2pog,2pog,pocket_5,"0.58,49.41,62.047",7.121584
316,2pog,2pog,pocket_6,"19.917,16.927,65.339",7.123576
317,2pog,2pog,pocket_7,"8.059,29.474,79.572",3.577255
318,2pog,2pog,pocket_8,"6.91,34.947,46.604",3.6640854
319,2pog,2pog,pocket_9,"3.488,30.09,71.787",3.8237033
320,2pog,2pog,pocket_10,"14.17,12.478,66.765",3.3721213
321,2pog,2pog,pocket_11,"-11.576,24.974,64.002",1.0734744
322,2pog,2pog,pocket_12,"33.874,23.355,77.19",7.1192236
323,2pog,2pog,pocket_13,"1.858,26.257,76.011",4.12176
324,2pog,2pog,pocket_14,"24.538,23.504,55.698",6.641878
325,2pog,2pog,pocket_15,"12.965,42.482,81.711",2.6377666
326,2p15,2p15,protein_center,"-30.26,-0.783,37.197",3.6076465
327,2p15,2p15,pocket_1,"-35.473,5.18,20.404",8.3743925
328,2p15,2p15,pocket_2,"-44.086,-7.138,47.101",8.610671
329,2p15,2p15,pocket_3,"-35.051,-12.256,31.776",5.883132
330,2p15,2p15,pocket_4,"-38.243,8.718,37.26",6.5929537
331,2p15,2p15,pocket_5,"-35.488,-1.896,55.552",7.921052
332,2p15,2p15,pocket_6,"-23.058,0.161,19.735",7.8486986
333,2p15,2p15,pocket_7,"-25.635,15.214,35.638",5.0479803
334,2p15,2p15,pocket_8,"-26.585,-16.899,42.278",5.676058
335,2p15,2p15,pocket_9,"-21.265,-9.176,40.011",6.0908422
336,2p15,2p15,pocket_10,"-15.028,3.672,21.468",4.7922754
337,2p15,2p15,pocket_11,"-5.956,-1.292,42.331",2.7654967
338,2p15,2p15,pocket_12,"-28.303,-21.96,32.689",4.046975
339,2p15,2p15,pocket_13,"-31.152,-20.28,46.128",3.9634717
340,2p15,2p15,pocket_14,"-27.874,-4.595,59.447",5.026565
341,2p15,2p15,pocket_15,"-48.043,-17.944,56.921",6.8254404
342,2p15,2p15,pocket_16,"-21.852,8.358,40.798",6.415983
343,1lpg,1lpg,protein_center,"22.859,13.325,25.248",7.425496
344,1lpg,1lpg,pocket_1,"8.962,7.679,22.79",8.289089
345,1lpg,1lpg,pocket_2,"24.967,-1.806,26.144",5.078006
346,1lpg,1lpg,pocket_3,"33.749,21.839,22.345",3.5068035
347,1lpg,1lpg,pocket_4,"23.123,16.578,34.478",4.408685
348,1lpg,1lpg,pocket_5,"39.09,0.999,29.258",4.860722
349,2weg,2weg,protein_center,"11.448,-0.116,15.814",6.882413
350,2weg,2weg,pocket_1,"16.501,3.998,13.532",6.805604
351,2weg,2weg,pocket_2,"26.739,-1.981,6.666",2.554536
352,2weg,2weg,pocket_3,"23.108,-10.341,14.976",3.596106
353,2weg,2weg,pocket_4,"3.816,-8.806,32.564",0.9215896
354,2weg,2weg,pocket_5,"11.063,6.845,30.128",6.566209
355,2weg,2weg,pocket_6,"26.551,-3.399,22.366",3.1716397
356,2weg,2weg,pocket_7,"5.45,-10.783,24.462",3.3376637
357,3ehy,3ehy,protein_center,"-2.755,0.219,-13.702",7.138713
358,3ehy,3ehy,pocket_1,"-1.722,-1.417,-4.701",7.117014
359,3ehy,3ehy,pocket_2,"2.171,-15.588,-9.942",7.092719
360,3ehy,3ehy,pocket_3,"10.192,5.402,-12.392",3.5481963
361,3ehy,3ehy,pocket_4,"-5.465,-8.539,-22.428",5.4840145
362,3ehy,3ehy,pocket_5,"-12.824,-4.742,-21.086",3.1163838
363,3ehy,3ehy,pocket_6,"-13.509,2.108,-4.405",6.415045
364,3ehy,3ehy,pocket_7,"-8.674,5.584,-0.835",6.642825
365,3ehy,3ehy,pocket_8,"-14.071,14.417,-15.204",0.94484043
366,3gnw,3gnw,protein_center,"27.713,32.68,25.144",4.4352818
367,3gnw,3gnw,pocket_1,"32.313,57.227,11.963",7.485363
368,3gnw,3gnw,pocket_2,"30.857,4.756,40.477",7.8259716
369,3gnw,3gnw,pocket_3,"29.964,68.484,20.531",5.280013
370,3gnw,3gnw,pocket_4,"24.258,0.189,48.025",7.3154907
371,3gnw,3gnw,pocket_5,"21.465,28.695,14.839",7.723716
372,3gnw,3gnw,pocket_6,"26.273,2.945,12.734",7.1931047
373,3gnw,3gnw,pocket_7,"14.162,66.175,8.237",3.0603669
374,3gnw,3gnw,pocket_8,"36.232,0.466,34.544",7.479534
375,3gnw,3gnw,pocket_9,"30.844,28.513,30.885",5.215889
376,3gnw,3gnw,pocket_10,"21.091,2.586,65.455",4.5962896
